date,index,search,download,404,page,author,title,series,isbn,doi,ext,lang,year,start_year,end_year
09/Sep/2024 00:00:00,786,1845,493,252,0,73,14,12,0,0,28,32,0,0,0
10/Sep/2024 00:00:00,499,1176,316,180,0,55,8,9,0,0,8,10,0,0,0
11/Sep/2024 00:00:00,340,765,217,305,0,33,0,14,0,0,10,12,0,0,0
12/Sep/2024 00:00:00,270,548,155,249,0,38,0,6,0,0,2,2,0,0,0
13/Sep/2024 00:00:00,207,422,88,225,0,13,1,5,0,0,1,0,0,0,0
14/Sep/2024 00:00:00,180,389,164,44,0,18,1,10,0,0,7,0,0,0,0
15/Sep/2024 00:00:00,156,308,64,102,0,14,7,0,0,0,10,6,0,0,0
16/Sep/2024 00:00:00,138,332,58,275,0,15,2,3,0,0,5,0,0,0,0
17/Sep/2024 00:00:00,145,223,77,173,0,6,0,1,0,0,5,1,0,0,0
18/Sep/2024 00:00:00,132,201,51,118,0,9,0,0,0,0,1,0,0,0,0
19/Sep/2024 00:00:00,131,298,161,101,0,20,1,20,0,0,1,3,0,0,0
20/Sep/2024 00:00:00,84,208,92,141,0,10,0,4,0,0,0,0,0,0,0
21/Sep/2024 00:00:00,96,212,53,154,0,5,0,3,0,0,0,2,0,0,0
22/Sep/2024 00:00:00,125,224,101,264,0,6,0,7,0,0,3,0,0,0,0
23/Sep/2024 00:00:00,109,134,43,94,0,2,0,0,0,0,0,0,0,0,0
24/Sep/2024 00:00:00,103,272,84,154,0,18,2,5,0,0,1,5,0,0,0
25/Sep/2024 00:00:00,98,222,83,157,0,9,2,7,0,0,4,5,0,0,0
26/Sep/2024 00:00:00,138,235,99,129,0,14,1,3,0,0,9,7,0,0,0
27/Sep/2024 00:00:00,151,498,212,193,0,21,1,6,0,0,5,12,0,0,0
28/Sep/2024 00:00:00,141,617,145,349,0,50,8,21,0,0,11,20,0,0,0
29/Sep/2024 00:00:00,358,728,172,212,0,28,4,26,0,0,11,24,0,0,0
30/Sep/2024 00:00:00,346,604,209,353,0,25,4,2,0,0,9,8,0,0,0
01/Oct/2024 00:00:00,370,841,296,312,0,40,4,4,0,0,39,44,0,0,0
02/Oct/2024 00:00:00,1415,532,360,401,0,31,0,6,0,0,3,5,0,0,0
03/Oct/2024 00:00:00,506,699,350,248,0,39,5,3,0,0,23,22,0,0,0
04/Oct/2024 00:00:00,198,494,270,298,0,23,5,6,0,0,5,7,0,0,0
05/Oct/2024 00:00:00,240,620,298,330,0,67,5,16,0,0,28,25,0,0,0
06/Oct/2024 00:00:00,288,621,308,102,0,58,4,6,0,0,26,27,0,0,0
07/Oct/2024 00:00:00,260,483,164,217,0,20,1,13,0,0,14,10,0,0,0
08/Oct/2024 00:00:00,234,574,211,334,0,47,0,11,0,0,0,0,0,0,0
09/Oct/2024 00:00:00,263,520,199,196,0,17,2,12,0,0,5,5,0,0,0
10/Oct/2024 00:00:00,200,632,237,160,31,70,0,23,0,0,8,11,0,0,0
11/Oct/2024 00:00:00,140,565,278,235,26,100,0,72,0,0,7,26,0,0,0
12/Oct/2024 00:00:00,210,537,229,1459,52,76,6,26,0,0,9,24,0,0,0
13/Oct/2024 00:00:00,205,454,186,1451,17,27,0,22,0,0,14,2,0,0,0
14/Oct/2024 00:00:00,183,831,455,209,5,127,0,94,0,0,2,0,0,0,0
15/Oct/2024 00:00:00,153,471,250,229,11,50,11,39,0,0,6,6,0,0,0
16/Oct/2024 00:00:00,136,208,126,267,31,5,0,10,0,0,1,0,0,0,0
